Attribute ID,Attribute Category,Attribute Name,Reference Notation (if applicable),Suggested / Common  Notation,Scientific Measurement / Description,Unit Name,Standard Unit (UoM),Reference Organisation,RO Link,Range of Measurement,Unit Conversion Factors
WM5,Weather Monitoring,Delta T Average,deltaTAvg,deltaTAvg,Average Delta T observation for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/lam/deltat.shtml, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM6,Weather Monitoring,Delta T Maximum,deltaTMax,deltaTMax,Maximum Delta T observation for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/lam/deltat.shtml, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM7,Weather Monitoring,Delta T Minimum,deltaTMin,deltaTMin,Minimum Delta T observation for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/lam/deltat.shtml, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM8,Weather Monitoring,Dew Point,dewPointTemperature,dewPoint,Lowest temperature required for dewdrops to form,degrees Celsius,°C,BOM / DPIRD ,"http://www.bom.gov.au/catalogue/observations/about-weather-observations.shtml#:~:text=degrees%20Celsius-,Dew%20Point%20(%C2%B0C), https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM9,Weather Monitoring,ETo,evapotranspiration,eto,Reference evapotranspiration,millimetres per day,mm/d,BOM / FAO,"http://www.bom.gov.au/watl/eto/, https://www.fao.org/3/X0490E/x0490e04.htm#evapotranspiration%20(et)",,
WM10,Weather Monitoring,ETc Short,etoShort,etoShort,Estimated short crop water requirement. Crop coefficient (Kc) multiplied by Eto,millimetres per day,mm/d,BOM / DPIRD,"http://www.bom.gov.au/watl/eto/, https://weather.agric.wa.gov.au/developer-api",,
WM11,Weather Monitoring,ETc Tall,etoTall,etoTall,Estimated tall crop water requirement. Crop coefficient (Kc) multiplied by Eto,millimetres per day,mm/d,BOM / DPIRD ,"http://www.bom.gov.au/watl/eto/, https://weather.agric.wa.gov.au/developer-api",,
WM12,Weather Monitoring,Evaporation,evaporation,evaporation,Depth of water evaporation per day,millimetre,mm,BOM / WMO,"http://www.bom.gov.au/watl/evaporation/, https://library.wmo.int/doc_num.php?explnum_id=10616",,
WM13,Weather Monitoring,Rainfall,totalPrecipitation,rainfall,Depth of precipitation over period of time,millimetre,mm,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/cdo/about/rain-measure.shtml, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,
WM14,Weather Monitoring,Relative Humidity (RH),relativeHumidity,relativeHumidity,Ratio of ambient air water and air capacity (% RH),percentage,%,DPIRD / WMO,"https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",0-100%,
WM15,Weather Monitoring,RH Average,relativeHumidityAvg,relativeHumidityAvg,Average relative humidity for given period,percentage,%,DPIRD / WMO,"https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",0-100%,
WM16,Weather Monitoring,RH Maximum,relativeHumidityMax,relativeHumidityMax,Maximum relative humidity for given period,percentage,%,DPIRD / WMO,"https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",0-100%,
WM17,Weather Monitoring,RH Minimum,relativeHumidityMin,relativeHumidityMin,Minimum relative humidity for given period,percentage,%,DPIRD / WMO,"https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",0-100%,
WM18,Weather Monitoring,Solar Exposure,solarExposure,solarExposure,Solar Exposure,mega joules per square metre,MJ/m2,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/austmaps/solar-radiation-glossary.shtml#globalexposure, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,
