Attribute ID,Attribute Category,Attribute Name,Reference Notation (if applicable),Suggested / Common  Notation,Scientific Measurement / Description,Unit Name,Standard Unit (UoM),Reference Organisation,RO Link,Range of Measurement,Unit Conversion Factors
SM17,Soil Monitoring,Chloride SE (Cl),chloride_concentration,Cl_soil_se,Cl concentration in Saturation Extract,milliequivalents per litre,meq/L,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiplymeq/L by 35.453 to convert to mg/L
SM18,Soil Monitoring,Chromium (Cr),chromium_concentration,Cr_soil,Cr concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM19,Soil Monitoring,Clay Content,clay_concentration,clay_soil,Clay content,percentage,%,ASRIS / SPMILE,"https://asris.csiro.au/, https://www.publish.csiro.au/book/3147",,
SM20,Soil Monitoring,Cobalt (Co),cobalt_concentration,Co_soil,Co concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM21,Soil Monitoring,Copper (Cu),copper_concentration,Cu_soil,Cu concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM22,Soil Monitoring,EC,electrical_conductivity_soil,EC_soil,Electrical conductivity,decisiemens per metre,dS/m,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 dS/m = 1 mS/cm, 1 dS/m = 100 mS/m, 1 dS/m = 1,000 µS/cm, ppm = EC (dS/m) x 640 (EC from 0.1 to 5 dS/m), ppm = EC (dS/m) x 800 (EC > 5 dS/m) "
SM23,Soil Monitoring,ECEC,cation_exchange_effective_capacity,ECEC_soil,Effective Cation Exchange Capacity,milliequivalents per hectogram,meq/hg ,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM24,Soil Monitoring,Ex Aluminium (Al3+),exchangeable_aluminium,Al_soil_exchange,Amount of exchangeable Al,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM25,Soil Monitoring,Ex Calcium (Ca2+),exchangeable_calcium,Ca_soil_exchange,Amount of exchangeable Ca,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM26,Soil Monitoring,Ex Hydrogen (H),exchangeable_hydrogen,H_soil_exchange,Amount of exchangeable H cation,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM27,Soil Monitoring,Ex Magnesium (Mg2+),exchangeable_magnesium,Mg_soil_exchange,Amount of exchangeable Mg ,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM28,Soil Monitoring,Ex Potassium (K+),exchangeable_potassium,K_soil_exchange,Amount of exchangeable K,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM29,Soil Monitoring,Ex Sodium (Na+),exchangeable_sodium,Na_soil_exchange,Amount of exchangeable Na,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM30,Soil Monitoring,Extractable Al,aluminium_concentration,Al_soil_extract,Extractable Al content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 10^4 to report in %"
SM31,Soil Monitoring,Extractable Fe,iron_concentration,Fe_soil_extract,Extractable Fe content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 10^4 to report in %"
SM32,Soil Monitoring,Extractable K,potassium_concentration,K_soil_extract,Extractable K content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 391 to report in meq/hg"
SM33,Soil Monitoring,Extractable Mg,magnesium_concentration,Mg_soil_extract,Extractable Mg content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 10^4 to report in %"
SM34,Soil Monitoring,Extractable P,phosphorus_concentration,P_soil_extract,Extractable P content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb,  divide mg/kg by 10^4 to report in %"
SM35,Soil Monitoring,Extractable P (CaCl2),phosphorus_concentration,P_soil_extractCaCl,Total extractable P content using CaCl2 ,micrograms per kilogram,µg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 µg/kg = 0.001 ppm, 1 µg/kg = 1 ppb"
SM36,Soil Monitoring,Extractable S,sulfur_concentration,S_soil_extract,Extractable S content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 10^4 to report in %"
SM37,Soil Monitoring,Fluoride (F-),,F-_soil,F- concentration,milliequivalents per litre,meq/L,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply meq/L by 18.998 to convert to mg/L
SM38,Soil Monitoring,Gravel Content,gravel_concentration,gravel_soil,Gravel content,percentage,%,ASRIS / SPMILE,"https://asris.csiro.au/, https://www.publish.csiro.au/book/3147",,
SM39,Soil Monitoring,Gypsum,gypsum_concentration,gypsum_soil,Gypsum content,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM40,Soil Monitoring,Iron (Fe),iron_concentration,Fe_soil,Fe concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply % by 10^4 to report in mg/kg 
SM41,Soil Monitoring,Lead (Pb),lead_concentration,Pb_soil,Pb concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM42,Soil Monitoring,Magnesium (Mg),magnesium_concentration,Mg_soil,Mg concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply % by 10^4 to report in mg/kg 
SM43,Soil Monitoring,Manganese (Mn),manganese_concentration,Mn_soil,Mn concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM44,Soil Monitoring,Molybdenum (Mo),molybdenum_concentration,Mo_soil,Mo concentration (CaCl2),milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM45,Soil Monitoring,Na Saturation Percentage (ESP),sodium_saturation,ESP_soil,Saturation percentage of exchangeable Na+,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM46,Soil Monitoring,Nickel (Ni),,Ni_soil,Amount of Ni in soil sample,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM47,Soil Monitoring,Nitrate-N (NO3-N),nitrate_concentration,NO3-N_soil,Amount of N in nitrate form,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM48,Soil Monitoring,Nitrite-N (NO2-N),,NO2-N_soil,Amount of N in nitrite form,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM49,Soil Monitoring,Nitrogen (N),nitrogen_concentration,N_soil,Total N concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM50,Soil Monitoring,PBI,phosphorus_buffering_index,PBI_soil,Phosphorus Buffering Index (PBI),numerical scaled quantity,unitless,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM51,Soil Monitoring,Phosphorus (P),phosphorus_concentration,P_soil,Total P concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply % by 10^4 to report in mg/kg 
SM52,Soil Monitoring,PMN,potentially_mineralisable_nitrogen_pmn,PMN_soil,Potentially mineralisable N,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM53,Soil Monitoring,Potassium (K),potassium_concentration,K_soil,Total K concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM54,Soil Monitoring,Redox potential ,,redox_soil,In field-based method for redox potential (Eh; field),millivolts,mV,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mV = 0.001 V, 1 mV = 1000 µV"
SM55,Soil Monitoring,Sand Content,sand_concentration,sand_soil,Sand content,percentage,%,ASRIS / SPMILE,"https://asris.csiro.au/, https://www.publish.csiro.au/book/3147",,
SM56,Soil Monitoring,SIC,carbon_inorganic_concentration,SIC_soil,Soil Inorganic Carbon (SIC) content,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM57,Soil Monitoring,Silicon (Si),silicon-cacl2,Si_soil,Si concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM58,Soil Monitoring,Silt Content,silt_concentration,silt_soil,Silt content,percentage,%,ASRIS / SPMILE,https://www.publish.csiro.au/book/3147,,
SM59,Soil Monitoring,SOC ,carbon_organic_concentration,OC_soil,Soil Organic Carbon (SOC) content,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM60,Soil Monitoring,Sodium (Na),sodium_concentration,Na_soil,Na concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM61,Soil Monitoring,Soil Depth,,soil_depth,Depth of soil from soil surface,centimetre,cm,FAO / DPIRD,"https://www.fao.org/soils-portal/data-hub/soil-properties/physical-properties/en/, https://www.agric.wa.gov.au/identifying-wa-soils/soil-classification-western-australia",,"1 cm = 10 mm, 1 cm = 0.01 m"
SM62,Soil Monitoring,Soil Ionic Strength,ionic_strength,IS_soil,Estimated soil ionic strength,millimolar,mM,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 mM = 1000000 nM
